Data,Turno,PEvento,FreqPEvento,DuracaoPEvento,SEvento,FreqSEvento,DuracaoSEvento,Somatoral,Dds,Maquina,Meta,Dds2,ID,IE,IQ,OEE
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Alpha,65.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Alpha,65.0,sexta-feira,,,,
2025-01-10,3,Parada planejada,1,31560.0,,,,31560.0,6.0,Maquina Alpha,65.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,4,18521.0,OPERANDO,19,8478.0,30600.0,6.0,Maquina Beta,65.0,sexta-feira,70.21,118.6,100.0,83.27
2025-01-10,2,OPERANDO,35,13148.0,PREPARAÇÃO,2,2912.0,30600.0,6.0,Maquina Beta,65.0,sexta-feira,46.38,99.11,100.0,45.97
2025-01-10,3,OPERANDO,19,10805.0,AGUARDANDO MANUTENÇÃO,2,5699.0,25200.0,6.0,Maquina Beta,65.0,sexta-feira,48.6,111.26,100.0,54.07
2025-01-10,1,Parada planejada,2,33365.0,PRODUÇÃO SEM ORDEM,1,115.0,33480.0,6.0,Maquina Gamma,67.0,sexta-feira,100.0,,,
2025-01-10,2,Parada planejada,2,31271.0,OPERANDO,1,1112.0,32760.0,6.0,Maquina Gamma,67.0,sexta-feira,74.68,65.18,100.0,48.68
2025-01-10,3,Parada planejada,1,31560.0,PARADA NÃO JUSTIFICADA,0,0.0,31560.0,6.0,Maquina Gamma,67.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,3,24932.0,OPERANDO,5,7161.0,33480.0,6.0,Maquina Delta,65.0,sexta-feira,83.77,108.76,100.0,91.11
2025-01-10,2,Parada planejada,2,14930.0,Oportunidadesdemelhoria,1,6087.0,32760.0,6.0,Maquina Delta,65.0,sexta-feira,24.4,74.54,100.0,18.19
2025-01-10,3,TURNO NÃO PLANEJADO,1,31560.0,,,,31560.0,6.0,Maquina Delta,65.0,sexta-feira,,,,
2025-01-10,1,OPERANDO,15,19007.0,ProblemasManutencao,3,8277.0,33480.0,6.0,Maquina Epsilon,63.0,sexta-feira,60.0,118.37,100.0,71.02
2025-01-10,2,OPERANDO,10,14943.0,Oportunidadesdemelhoria,2,10345.0,32760.0,6.0,Maquina Epsilon,63.0,sexta-feira,45.65,96.69,100.0,44.14
2025-01-10,3,TURNO NÃO PLANEJADO,3,20383.0,OPERANDO,9,7474.0,31560.0,6.0,Maquina Epsilon,63.0,sexta-feira,68.23,125.29,100.0,85.49
2025-01-10,1,Parada planejada,1,29766.0,TROCA DE TURNO / LIMPEZA,1,834.0,30600.0,6.0,Maquina Zeta,68.0,sexta-feira,0.0,,,
2025-01-10,2,Oportunidadesdemelhoria,2,9765.0,Parada planejada,2,6518.0,30600.0,6.0,Maquina Zeta,68.0,sexta-feira,25.93,71.74,100.0,18.6
2025-01-10,3,TURNO NÃO PLANEJADO,1,25200.0,Parada planejada,0,0.0,25200.0,6.0,Maquina Zeta,68.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,2,24091.0,ProblemasManutencao,2,7670.0,33480.0,6.0,Maquina Eta,68.0,sexta-feira,8.78,54.17,100.0,4.76
2025-01-10,2,Parada planejada,2,27807.0,OPERANDO,6,2303.0,32760.0,6.0,Maquina Eta,68.0,sexta-feira,46.5,83.99,100.0,39.06
2025-01-10,3,Parada planejada,1,31560.0,ProblemasProcesso,0,0.0,31560.0,6.0,Maquina Eta,68.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Theta,69.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Theta,69.0,sexta-feira,,,,
2025-01-10,3,Parada planejada,1,31560.0,,,,31560.0,6.0,Maquina Theta,69.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Iota,68.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Iota,68.0,sexta-feira,,,,
2025-01-10,3,TURNO NÃO PLANEJADO,1,31560.0,,,,31560.0,6.0,Maquina Iota,68.0,sexta-feira,,,,
